PRJ. ID,PRJ.,COVER MAT,HOUSING MAT,TEARLINE,CUSHION TETHER,CUSHION RADIUS,INTERFACE,FLAPPY MASS,HINGE WIDTH,PLANE,NECK,INFLATOR,WRAPPER,CUSHION FOLDTYPE,FAILURE,CAE RESULT
37,A2XL,TT1081,STEEL,I,2,670,ASW3,2.25E-02,61.357,TRUE,TRUE,ADPS 1.5D,FALSE,LC3,0,Y:\comp\02_DAB\480_200721_ESR-079025_GM_A2XL_LW_DAB_deployment_HYQ\02_Run_TT1081
38,A2XL,TA4003,STEEL,I,2,670,ASW3,2.25E-02,61.357,TRUE,TRUE,ADPS 1.5D,FALSE,LC3,0,Y:\comp\02_DAB\480_200721_ESR-079025_GM_A2XL_LW_DAB_deployment_HYQ\02_Run_TA4003
39,A2XL,TT990,STEEL,I,2,670,ASW3,2.25E-02,61.357,TRUE,TRUE,ADPS 1.5D,FALSE,LC3,0,Y:\comp\02_DAB\480_200721_ESR-079025_GM_A2XL_LW_DAB_deployment_HYQ\02_Run_TT990
40,FE57B,TT1081,STEEL,H,3,680,ASW8,2.55E-02,71.563,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\440_190523_ESR-054159_FE57B_DAB_Deployment_Yujin\02_run_TT1081
41,FE57B,TA4003,STEEL,H,3,680,ASW8,2.55E-02,71.563,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\440_190523_ESR-054159_FE57B_DAB_Deployment_Yujin\02_run_TA4003B
42,FE57B,TT990,STEEL,H,3,680,ASW8,2.55E-02,71.563,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\440_190523_ESR-054159_FE57B_DAB_Deployment_Yujin\02_run_TT990
43,Bordrin B31,TT1081,STEEL,H,3,700,ASW5,2.52E-02,70.935,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,DRR,0,Y:\comp\02_DAB\439_190516_ESR-053777_Bordrin_B31_DAB_Deployment_HYQ\03_Run_TT1081
44,Bordrin B31,TA4003,STEEL,H,3,700,ASW6,2.52E-02,70.935,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,DRR,0,Y:\comp\02_DAB\439_190516_ESR-053777_Bordrin_B31_DAB_Deployment_HYQ\03_Run_TA4003
45,Bordrin B31,TT990,STEEL,H,3,700,ASW7,2.52E-02,70.935,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,DRR,0,Y:\comp\02_DAB\439_190516_ESR-053777_Bordrin_B31_DAB_Deployment_HYQ\03_Run_TT990
46,P3011 K7CUSHION,TT990,STEEL,H,2,680,ASW8,2.91E-02,79.3,FALSE,TRUE,ADP 1.3B 200kPa,FALSE,RC1,0,Y:\comp\02_DAB\491_201113_ESR-086234_GMW_K7_DAB_Deployment_changeCushion_AFIS86539_HaimingChen_Yujin\02_Run_TT990
47,P3011 K7CUSHION,TA4003,STEEL,H,2,680,ASW8,2.91E-02,79.3,FALSE,TRUE,ADP 1.3B 200kPa,FALSE,RC1,1,Y:\comp\02_DAB\491_201113_ESR-086234_GMW_K7_DAB_Deployment_changeCushion_AFIS86539_HaimingChen_Yujin\02_Run_TA4003
48,GLY DC1E V711,TT990,STEEL,H,2,700,ASW3,2.69E-02,35.552,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\449_190819_ESR-058562_DC1E_DAB_Deployment_Yujin\02_Run\V7_11_TT990
49,GLY DC1E V711,TA4003,STEEL,H,2,700,ASW3,2.69E-02,35.552,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\449_190819_ESR-058562_DC1E_DAB_Deployment_Yujin\02_Run\V7_11_TA4003
51,VW B8L 190128,TT990,STEEL,H,3,700,ASW3,3.27E-02,51.7,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\422_190128_ESR-048343_B8L_DAB_Deployment_Yujin\99_Run_Mattest
52,VW B8L 190128,TA4003,STEEL,H,3,700,ASW3,3.27E-02,51.7,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\422_190128_ESR-048343_B8L_DAB_Deployment_Yujin\99_Run_Mattest
56,GDP Illuminated emblem,TT1081,PG8,H,3,690,ASW5,3.54E-02,74.1,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,1,Y:\comp\02_DAB\463_191206_ESR-064736_GDP_Illuminated_emblem_DAB_integrity_performance_WGZ\02_run\V6_Strength
57,HAIMA SG00,TT1081,STEEL,H,3,690,ASW3,3.55E-02,67.341,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,DRR,1,Y:\comp\02_DAB\435_190423_ESR-052619_SG00_Cover_hook_separate_risk_analysis_Yujin\02_Run\MATTEST
